 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	4.000	428.000
2	0	4	4	4	46.667	424.000
3	0	7	7	7	66.667	424.000
4	0	0	0	0	235.500	433.500
5	0	5	5	5	236.500	437.500
6	0	4	4	4	242.500	437.500
7	0	1	1	1	244.500	433.000
8	0	4	4	4	272.000	435.500
9	0	0	0	0	275.000	416.000
10	0	0	0	0	278.500	416.500
11	0	0	0	0	279.500	435.000
12	0	7	7	7	302.500	437.500
13	0	7	7	7	313.000	441.000
14	0	5	5	5	317.500	428.500
15	0	0	0	0	320.000	442.500
16	0	7	7	7	328.000	446.000
17	0	0	0	0	334.000	445.000
18	0	7	7	7	366.500	459.500
19	0	4	4	4	377.500	460.000
20	0	0	0	0	401.000	466.500
21	0	7	7	7	400.500	470.000
22	0	6	6	6	417.500	476.500
23	0	2	2	2	424.000	474.500
24	0	6	6	6	431.000	459.000
25	0	7	7	7	435.000	459.500
26	0	3	3	3	434.000	463.000
27	0	7	7	7	439.500	465.500
28	0	2	2	2	441.000	461.000
29	0	7	7	7	446.000	461.500
30	0	4	4	4	440.000	478.500
31	0	0	0	0	472.000	490.500
32	0	6	6	6	527.000	513.500
33	0	3	3	3	531.000	511.000
34	0	0	0	0	542.500	516.000
35	0	3	3	3	544.000	521.000
36	0	0	0	0	555.000	522.500
37	0	0	0	0	570.500	528.500
38	0	0	0	0	584.000	527.500
39	0	1	1	1	597.000	530.500
40	0	7	7	7	606.000	530.000
41	0	2	2	2	612.500	530.500
42	0	1	1	1	616.500	526.500
43	0	2	2	2	637.000	531.500
44	0	7	7	7	618.000	600.000
45	0	7	7	7	625.000	603.000
46	0	0	0	0	649.000	535.500
47	0	4	4	4	654.000	537.500
48	0	0	0	0	656.500	532.500
49	0	7	7	7	661.000	531.500
50	0	0	0	0	693.000	542.500
51	0	7	7	7	702.500	544.500
52	0	7	7	7	705.500	532.000
53	0	5	5	5	714.500	533.500
54	0	6	6	6	716.500	546.000
55	0	7	7	7	775.000	561.500
56	0	2	2	2	780.000	558.000
57	0	0	0	0	826.000	578.500
58	0	5	5	5	846.000	586.000
59	0	6	6	6	870.500	602.500
60	0	7	7	7	914.500	623.500
61	0	0	0	0	956.000	649.000
62	0	0	0	0	2.000	642.000
