 	Area	Mean	Min	Max	X	Y
1	0	1	1	1	733.667	447.333
2	0	0	0	0	733.000	441.667
3	0	0	0	0	733.000	424.333
4	0	6	6	6	734.333	420.000
5	0	0	0	0	734.333	416.667
6	0	6	6	6	738.333	412.667
7	0	3	3	3	741.667	412.667
8	0	0	0	0	744.333	416.333
9	0	0	0	0	744.333	420.333
10	0	7	7	7	747.000	421.000
11	0	2	2	2	747.000	417.333
12	0	0	0	0	751.000	414.000
13	0	4	4	4	766.333	413.667
14	0	7	7	7	765.667	400.333
15	0	0	0	0	779.000	400.000
16	0	3	3	3	779.000	407.000
17	0	4	4	4	777.333	409.333
18	0	0	0	0	780.667	419.333
19	0	0	0	0	770.333	425.000
20	0	6	6	6	770.333	438.333
21	0	0	0	0	764.000	438.333
22	0	2	2	2	762.667	440.333
23	0	3	3	3	766.000	445.000
24	0	2	2	2	760.333	445.667
25	0	2	2	2	759.667	450.000
26	0	0	0	0	749.667	450.333
27	0	0	0	0	746.333	446.333
28	0	7	7	7	742.667	445.667
29	0	0	0	0	741.333	447.667
